cliente_id,idade,renda_estimada,valor_compra,qtd_parcelas,ja_usou_pix_parcelado_antes,score_credito,inadimplente,estrategia_lembrete,recuperou
CLI1049,28,1972.91,1453.6,3,1,632,0,N/A,0
CLI1050,59,2257.13,993.87,3,0,367,1,Lembrete com opção de renegociar,0
CLI1051,53,2499.49,1705.78,3,1,334,0,N/A,0
CLI1052,18,1070.84,1928.08,6,1,605,1,Lembrete com opção de renegociar,0
CLI1053,25,1919.8,2143.44,3,1,583,0,N/A,0
CLI1054,41,1425.36,170.19,12,1,725,0,N/A,0
CLI1055,46,3160.63,2589.21,2,1,734,0,N/A,0
CLI1056,50,1644.2,1998.4,6,0,879,0,N/A,0
CLI1057,39,1626.6,150.64,6,0,441,1,Lembrete simples,1
CLI1058,54,2536.71,1987.9,3,1,615,0,N/A,0
CLI1059,53,2237.9,1572.45,4,0,538,0,N/A,0
CLI1060,51,1430.92,923.58,2,0,447,1,Lembrete simples,0
CLI1061,21,3651.77,2381.06,3,1,300,1,Lembrete com opção de renegociar,0
CLI1062,45,1867.72,2604.76,4,0,754,1,Lembrete simples,1
CLI1063,51,1418.58,2909.08,6,0,670,1,Lembrete com opção de renegociar,1
CLI1064,37,900.0,2624.38,12,0,593,1,Lembrete simples,0
CLI1065,45,2673.72,1239.72,4,0,787,0,N/A,0
CLI1066,22,1587.66,963.65,9,0,617,1,Lembrete com opção de renegociar,0
CLI1067,37,3593.25,672.06,12,0,500,1,Lembrete com opção de renegociar,0
CLI1068,51,6905.2,1993.62,9,1,600,0,N/A,0
CLI1069,48,3296.71,1040.4,3,1,475,0,N/A,0
CLI1070,55,1843.0,874.92,4,0,653,1,Lembrete simples,0
CLI1071,27,2115.51,2776.31,2,1,769,0,N/A,0
CLI1072,47,2326.42,178.41,4,0,686,0,N/A,0
CLI1073,35,3589.99,1081.98,4,1,466,0,N/A,0
CLI1074,49,1995.15,1333.25,3,0,654,0,N/A,0
CLI1075,20,3790.9,656.96,3,0,681,1,Lembrete simples,0
CLI1076,37,2872.5,918.84,2,1,714,0,N/A,0
CLI1077,36,2105.79,1209.44,2,0,571,0,N/A,0
CLI1078,39,4239.32,2260.08,4,1,595,0,N/A,0
CLI1079,21,3765.7,267.19,4,1,858,0,N/A,0
CLI1080,29,2915.68,382.39,12,0,624,1,Lembrete simples,0
CLI1081,34,1099.33,1247.24,6,0,577,1,Lembrete simples,0
CLI1082,30,1842.84,2381.04,6,0,511,0,N/A,0
CLI1083,47,6204.67,149.27,4,1,889,0,N/A,0
CLI1084,61,1718.5,1040.85,6,0,711,0,N/A,0
CLI1085,59,3098.35,697.0,6,0,577,0,N/A,0
CLI1086,27,2466.09,1523.07,3,0,773,0,N/A,0
CLI1087,30,2653.06,1178.56,9,1,408,0,N/A,0
CLI1088,21,1103.17,854.8,9,0,343,0,N/A,0
CLI1089,64,1251.5,230.76,3,0,624,0,N/A,0
CLI1090,32,3237.56,524.6,12,0,850,0,N/A,0
CLI1091,38,2882.73,1866.12,2,1,526,0,N/A,0
CLI1092,33,1170.87,1818.41,4,0,508,0,N/A,0
CLI1093,53,2235.86,2082.8,2,1,619,0,N/A,0
CLI1094,22,2589.29,257.36,2,0,914,0,N/A,0
CLI1095,61,3652.11,75.49,2,0,300,1,Lembrete simples,1
CLI1096,26,2596.99,1878.06,2,1,544,0,N/A,0
CLI1097,44,5863.66,573.62,9,1,622,0,N/A,0
CLI1098,61,3710.81,2261.24,4,0,593,0,N/A,0
CLI1099,41,1649.51,1752.24,3,0,479,1,Lembrete com opção de renegociar,0
CLI1100,31,4576.23,830.85,3,0,669,0,N/A,0
CLI1101,57,2184.4,1322.42,9,0,738,1,Lembrete com opção de renegociar,1
CLI1102,21,1135.69,1307.19,2,1,675,0,N/A,0
CLI1103,47,2050.49,770.41,2,0,813,0,N/A,0
CLI1104,30,1376.66,2565.07,4,1,657,1,Lembrete simples,0
CLI1105,30,1639.02,55.53,3,0,547,0,N/A,0
CLI1106,33,2014.07,770.39,2,1,773,0,N/A,0
CLI1107,47,4006.34,641.02,2,0,467,0,N/A,0
CLI1108,26,1029.58,2745.3,12,1,326,1,Lembrete com opção de renegociar,1
CLI1109,56,6420.43,2415.83,2,0,378,0,N/A,0
CLI1110,24,2334.02,2393.63,9,1,930,0,N/A,0
CLI1111,39,5684.8,2485.53,6,0,587,0,N/A,0
CLI1112,62,2248.65,537.11,9,0,554,0,N/A,0
CLI1113,45,1809.18,2615.48,3,1,585,0,N/A,0
CLI1114,25,2569.74,1208.83,2,0,611,0,N/A,0
CLI1115,35,1965.69,801.13,12,0,300,0,N/A,0
CLI1116,60,2221.74,582.29,2,0,410,0,N/A,0
CLI1117,23,3795.13,880.87,6,0,340,1,Lembrete com opção de renegociar,1
CLI1118,54,1981.98,1640.34,3,1,721,0,N/A,0
CLI1119,59,1309.08,1092.53,4,0,634,0,N/A,0
CLI1120,59,1149.96,2061.05,3,0,613,1,Lembrete com opção de renegociar,1
CLI1121,47,1560.38,69.48,4,1,333,0,N/A,0
CLI1122,44,2106.36,1408.79,6,0,410,1,Lembrete com opção de renegociar,0
CLI1123,18,1027.32,1255.28,3,1,649,0,N/A,0
CLI1124,40,1353.51,598.84,4,0,785,0,N/A,0
CLI1125,52,2491.76,2544.54,6,0,364,1,Lembrete simples,0
CLI1126,30,1089.8,837.09,3,1,556,0,N/A,0
CLI1127,24,2500.46,1141.67,4,0,745,0,N/A,0
CLI1128,58,3600.96,1530.57,2,0,300,1,Lembrete simples,0
CLI1129,52,994.44,640.05,2,0,501,1,Lembrete simples,1
CLI1130,60,1587.19,1893.03,3,0,428,1,Lembrete com opção de renegociar,0
CLI1131,64,3393.95,394.57,12,1,740,0,N/A,0
CLI1132,47,1672.62,832.88,3,1,486,0,N/A,0
CLI1133,56,1764.99,537.12,3,0,387,0,N/A,0
CLI1134,60,2537.76,2990.19,2,0,458,1,Lembrete simples,1
CLI1135,35,2069.36,1415.0,4,0,483,0,N/A,0
CLI1136,23,1558.13,264.68,2,1,737,0,N/A,0
CLI1137,33,2044.49,1975.04,2,1,555,1,Lembrete com opção de renegociar,0
CLI1138,30,3475.55,1820.65,4,1,900,0,N/A,0
CLI1139,59,1230.07,899.05,9,1,639,1,Lembrete simples,0
CLI1140,58,2403.55,146.67,12,1,664,0,N/A,0
CLI1141,46,2544.79,446.96,4,0,563,0,N/A,0
CLI1142,55,2824.6,1511.23,3,1,392,1,Lembrete simples,0
CLI1143,27,1886.81,731.69,3,0,533,0,N/A,0
CLI1144,41,900.0,1880.06,12,0,537,1,Lembrete com opção de renegociar,0
CLI1145,39,2468.99,2574.81,6,0,589,0,N/A,0
CLI1146,22,941.29,1396.66,4,1,633,0,N/A,0
CLI1147,45,1575.34,337.97,2,0,452,0,N/A,0
CLI1148,30,5139.51,2534.85,2,0,653,0,N/A,0
CLI1149,59,1229.16,192.03,3,1,547,0,N/A,0
CLI1150,29,1238.51,1204.95,4,1,591,0,N/A,0
CLI1151,24,1703.51,1141.85,6,0,764,0,N/A,0
CLI1152,51,2210.07,1913.03,4,1,590,0,N/A,0
CLI1153,39,2409.97,2462.36,4,1,431,0,N/A,0
CLI1154,39,2457.07,352.44,3,1,659,0,N/A,0
CLI1155,48,1628.44,1386.54,3,0,464,1,Lembrete com opção de renegociar,1
CLI1156,61,2896.48,563.14,3,1,704,0,N/A,0
CLI1157,46,2065.06,2078.39,2,0,640,0,N/A,0
CLI1158,30,1118.05,2664.22,3,1,574,1,Lembrete com opção de renegociar,1
CLI1159,30,983.06,968.85,3,1,404,1,Lembrete simples,0
CLI1160,63,1834.35,2128.43,2,1,688,1,Lembrete com opção de renegociar,0
CLI1161,54,1023.9,1631.38,3,0,701,0,N/A,0
CLI1162,25,2286.01,2497.71,3,0,648,0,N/A,0
CLI1163,39,1793.26,2677.54,2,0,300,1,Lembrete com opção de renegociar,0
CLI1164,59,971.76,1296.66,4,0,694,0,N/A,0
CLI1165,56,1289.49,183.83,12,1,712,0,N/A,0
CLI1166,33,1600.78,296.52,6,0,596,0,N/A,0
CLI1167,61,2690.35,1608.76,6,0,809,0,N/A,0
CLI1168,36,4846.87,1479.18,3,1,940,0,N/A,0
CLI1169,46,1704.92,87.82,12,0,492,0,N/A,0
CLI1170,34,2445.07,326.56,6,1,494,0,N/A,0
CLI1171,23,900.0,1700.45,4,0,362,1,Lembrete simples,0
CLI1172,53,1758.34,1027.93,2,0,491,0,N/A,0
CLI1173,31,900.0,1106.84,4,0,569,0,N/A,0
CLI1174,50,1182.61,2230.6,2,0,694,0,N/A,0
CLI1175,41,2632.57,2590.94,3,1,564,0,N/A,0
CLI1176,49,1561.42,2039.09,12,0,605,1,Lembrete simples,1
CLI1177,51,1227.26,2108.64,4,0,454,0,N/A,0
CLI1178,63,1921.74,2055.4,2,1,588,0,N/A,0
CLI1179,58,2675.38,1646.71,3,0,634,0,N/A,0
CLI1180,45,1228.07,380.61,9,1,385,0,N/A,0
CLI1181,32,5321.87,1363.51,2,1,702,0,N/A,0
CLI1182,63,1174.06,1437.79,3,0,597,1,Lembrete simples,0
CLI1183,59,1663.32,1894.19,3,1,704,0,N/A,0
CLI1184,60,2400.95,2693.89,2,0,498,1,Lembrete com opção de renegociar,0
CLI1185,50,2306.89,983.71,3,1,375,1,Lembrete simples,0
CLI1186,52,1933.14,410.95,9,1,432,0,N/A,0
CLI1187,49,1372.48,425.44,6,0,583,1,Lembrete com opção de renegociar,1
CLI1188,56,1452.97,541.23,12,0,574,0,N/A,0
CLI1189,36,1738.55,2860.42,4,0,586,1,Lembrete simples,0
CLI1190,27,4664.82,843.56,6,0,498,0,N/A,0
CLI1191,27,5002.46,1653.82,6,1,831,0,N/A,0
CLI1192,31,1128.55,2087.36,3,1,300,1,Lembrete com opção de renegociar,0
CLI1193,39,6298.06,1767.97,12,0,854,0,N/A,0
CLI1194,61,1407.35,569.85,6,0,805,0,N/A,0
CLI1195,19,2194.17,1499.55,2,0,707,0,N/A,0
CLI1196,49,1139.71,2781.96,12,0,300,1,Lembrete com opção de renegociar,1
CLI1197,32,2363.5,1448.68,3,1,573,1,Lembrete simples,0
CLI1198,34,2648.87,744.63,4,1,314,1,Lembrete com opção de renegociar,0
CLI1199,43,1776.37,1154.34,3,0,815,0,N/A,0
CLI1200,64,2993.51,527.08,3,1,365,1,Lembrete com opção de renegociar,0
CLI1201,51,1422.96,881.93,6,0,568,0,N/A,0
CLI1202,39,1389.96,2334.02,2,1,783,0,N/A,0
CLI1203,37,2347.56,1567.33,9,1,394,1,Lembrete com opção de renegociar,0
CLI1204,36,3602.04,532.96,2,1,861,0,N/A,0
CLI1205,18,900.0,387.86,2,0,817,0,N/A,0
CLI1206,31,3595.71,388.86,2,1,641,0,N/A,0
CLI1207,28,1556.37,2070.99,3,0,616,0,N/A,0
CLI1208,45,1088.65,67.37,3,1,704,0,N/A,0
CLI1209,46,3050.27,2880.66,6,1,583,1,Lembrete com opção de renegociar,0
CLI1210,26,2653.56,872.29,4,1,617,0,N/A,0
CLI1211,51,2673.73,2395.94,4,0,311,0,N/A,0
CLI1212,54,2264.67,2217.42,2,0,486,1,Lembrete simples,0
CLI1213,43,3923.53,904.45,2,0,931,0,N/A,0
CLI1214,62,3407.05,426.19,6,0,494,0,N/A,0
CLI1215,60,1134.01,633.2,6,1,655,0,N/A,0
CLI1216,46,1070.07,1544.43,12,0,577,1,Lembrete com opção de renegociar,0
CLI1217,25,1871.29,1465.43,3,1,531,1,Lembrete simples,0
CLI1218,33,1912.13,293.15,6,1,522,0,N/A,0
CLI1219,18,1999.78,1754.6,6,1,597,0,N/A,0
CLI1220,36,2087.86,2972.58,3,0,800,0,N/A,0
CLI1221,57,5389.81,924.81,3,1,805,0,N/A,0
CLI1222,62,1626.03,1421.92,9,0,730,0,N/A,0
CLI1223,18,1571.2,1867.65,6,1,639,0,N/A,0
CLI1224,62,2300.76,602.68,6,1,536,1,Lembrete simples,1
CLI1225,27,2048.8,1922.46,12,0,689,0,N/A,0
CLI1226,64,3553.13,1973.38,4,0,768,0,N/A,0
CLI1227,52,1431.79,1538.19,3,0,640,1,Lembrete com opção de renegociar,1
CLI1228,61,1346.84,324.91,4,0,907,0,N/A,0
CLI1229,23,1120.04,731.15,4,0,597,0,N/A,0
CLI1230,39,1638.96,2644.97,2,1,723,1,Lembrete simples,0
CLI1231,34,2695.62,727.97,2,0,660,0,N/A,0
CLI1232,59,2821.13,1694.9,9,0,627,0,N/A,0
CLI1233,29,3104.65,1744.36,6,1,655,0,N/A,0
CLI1234,60,2242.21,2765.36,4,0,508,0,N/A,0
CLI1235,50,2379.93,2677.76,4,0,729,0,N/A,0
CLI1236,58,1668.13,744.38,6,0,483,0,N/A,0
CLI1237,54,900.0,1535.4,3,0,647,1,Lembrete simples,0
CLI1238,23,1359.49,1023.61,12,1,484,0,N/A,0
CLI1239,46,2640.24,914.83,2,0,525,0,N/A,0
CLI1240,61,2689.78,1306.25,2,0,512,0,N/A,0
CLI1241,47,3969.56,412.59,4,0,670,0,N/A,0
CLI1242,64,1067.19,2819.05,2,0,498,0,N/A,0
CLI1243,60,900.0,535.33,2,0,691,0,N/A,0
CLI1244,49,1873.73,2041.48,6,1,649,0,N/A,0
CLI1245,25,2429.02,926.48,12,1,713,0,N/A,0
CLI1246,46,2693.13,1985.14,4,1,522,0,N/A,0
CLI1247,32,2826.72,2501.26,2,0,659,0,N/A,0
CLI1248,31,3887.88,530.52,2,0,634,0,N/A,0
CLI1249,37,2657.47,2874.17,4,0,845,0,N/A,0
CLI1250,59,1301.44,2145.27,2,1,636,0,N/A,0
CLI1251,31,2623.24,2939.13,6,1,719,1,Lembrete simples,0
CLI1252,42,1485.36,1468.89,4,0,585,0,N/A,0
CLI1253,21,1770.85,1663.5,4,0,853,0,N/A,0
CLI1254,25,2723.83,2747.88,2,0,667,1,Lembrete simples,0
CLI1255,60,900.0,177.6,3,0,634,0,N/A,0
CLI1256,50,1492.92,1443.37,12,0,596,0,N/A,0
CLI1257,51,2599.38,341.1,9,0,412,1,Lembrete com opção de renegociar,0
CLI1258,29,1559.45,680.35,4,0,535,0,N/A,0
CLI1259,45,1483.38,1559.23,3,0,582,0,N/A,0
CLI1260,22,4665.15,2451.69,3,1,630,1,Lembrete com opção de renegociar,0
CLI1261,56,3413.75,590.25,4,0,567,0,N/A,0
CLI1262,49,5607.32,1669.98,2,0,585,0,N/A,0
CLI1263,48,1645.8,1900.63,6,1,553,1,Lembrete com opção de renegociar,1
CLI1264,32,3084.19,1479.85,4,1,877,0,N/A,0
CLI1265,62,3727.99,1348.28,2,1,861,0,N/A,0
CLI1266,61,2986.12,2344.96,2,0,749,0,N/A,0
CLI1267,30,1344.35,2205.78,2,1,676,0,N/A,0
CLI1268,34,2905.58,1325.77,9,0,572,0,N/A,0
CLI1269,44,988.03,783.66,4,0,699,0,N/A,0
CLI1270,50,1040.86,2165.51,4,0,686,1,Lembrete com opção de renegociar,0
CLI1271,61,3504.22,1206.31,12,0,610,0,N/A,0
CLI1272,51,2436.54,2611.13,3,1,436,1,Lembrete com opção de renegociar,1
CLI1273,26,2529.37,1600.21,6,0,491,0,N/A,0
CLI1274,48,1454.34,476.94,12,0,457,0,N/A,0
CLI1275,51,1938.43,2043.26,3,0,525,0,N/A,0
CLI1276,33,900.0,1426.35,4,1,545,0,N/A,0
CLI1277,40,2386.39,598.88,12,1,657,0,N/A,0
CLI1278,52,2279.96,2868.45,3,0,732,0,N/A,0
CLI1279,30,2296.92,488.74,3,1,801,0,N/A,0
CLI1280,22,4079.17,579.41,6,0,400,0,N/A,0
CLI1281,62,2898.32,2010.1,2,1,548,0,N/A,0
CLI1282,38,3031.38,1042.95,3,1,508,0,N/A,0
CLI1283,61,1346.39,518.44,3,1,458,0,N/A,0
CLI1284,36,1283.85,121.92,9,0,519,0,N/A,0
CLI1285,39,2082.3,1684.74,2,0,529,0,N/A,0
CLI1286,40,2633.75,2749.68,2,1,662,1,Lembrete com opção de renegociar,0
CLI1287,36,2979.54,2914.06,12,0,629,0,N/A,0
CLI1288,23,3954.05,1792.88,4,1,851,0,N/A,0
CLI1289,57,3197.23,1406.7,4,1,468,1,Lembrete com opção de renegociar,0
CLI1290,23,1446.82,1895.23,4,1,461,1,Lembrete com opção de renegociar,0
CLI1291,23,2586.98,2149.05,2,0,680,0,N/A,0
CLI1292,24,3116.45,1671.6,9,0,505,1,Lembrete com opção de renegociar,1
CLI1293,49,3185.74,304.91,2,1,576,1,Lembrete com opção de renegociar,0
CLI1294,47,1710.79,2856.94,12,1,509,1,Lembrete simples,0
CLI1295,34,2797.19,1641.71,12,1,753,0,N/A,0
CLI1296,60,988.39,326.79,2,1,737,0,N/A,0
CLI1297,64,2268.41,344.74,2,0,711,0,N/A,0
CLI1298,22,1347.27,143.15,2,0,300,0,N/A,0
CLI1299,64,1316.98,1396.11,6,1,586,0,N/A,0
CLI1300,56,1872.85,399.17,4,0,300,0,N/A,0
CLI1301,31,1965.06,2509.44,2,1,479,0,N/A,0
CLI1302,20,946.14,1191.68,4,0,754,0,N/A,0
CLI1303,30,2820.48,577.81,4,1,756,0,N/A,0
CLI1304,42,2596.83,2396.98,6,0,610,0,N/A,0
CLI1305,45,5158.58,340.7,2,1,564,0,N/A,0
CLI1306,34,2813.89,1994.01,6,1,575,0,N/A,0
CLI1307,64,900.0,163.87,4,1,480,0,N/A,0
CLI1308,23,997.98,950.04,3,1,307,1,Lembrete simples,0
CLI1309,58,2659.44,2716.55,4,0,642,0,N/A,0
CLI1310,47,1396.22,91.88,6,0,673,0,N/A,0
CLI1311,27,1278.49,2456.94,3,1,536,1,Lembrete simples,0
CLI1312,62,2877.69,1848.12,6,1,696,0,N/A,0
CLI1313,57,2412.28,2645.31,2,0,614,1,Lembrete simples,0
CLI1314,32,1483.61,2314.55,2,0,784,1,Lembrete simples,0
CLI1315,24,1883.99,1873.28,4,0,568,0,N/A,0
CLI1316,20,2282.87,2646.4,2,0,353,0,N/A,0
CLI1317,55,1247.72,397.21,4,1,554,0,N/A,0
CLI1318,40,2541.08,2957.26,4,1,505,1,Lembrete com opção de renegociar,0
CLI1319,64,1465.49,535.0,9,0,469,1,Lembrete com opção de renegociar,1
CLI1320,27,3115.13,2115.18,6,1,563,0,N/A,0
CLI1321,53,1448.93,1758.23,3,1,624,0,N/A,0
CLI1322,33,1607.51,867.63,12,0,513,0,N/A,0
CLI1323,38,1745.95,2379.51,9,0,579,1,Lembrete com opção de renegociar,1
CLI1324,50,1951.69,1972.45,3,0,827,0,N/A,0
CLI1325,53,1853.47,2146.65,12,1,561,0,N/A,0
CLI1326,39,1553.05,923.31,12,0,745,0,N/A,0
CLI1327,24,1120.04,158.28,2,1,653,0,N/A,0
CLI1328,38,908.08,595.13,6,1,413,1,Lembrete com opção de renegociar,0
CLI1329,18,1545.63,1682.47,4,1,549,1,Lembrete simples,0
CLI1330,38,2463.67,621.1,12,0,903,0,N/A,0
CLI1331,51,2972.73,2240.4,12,0,460,0,N/A,0
CLI1332,39,2211.39,1183.68,6,1,568,1,Lembrete com opção de renegociar,0
CLI1333,20,3878.55,1867.65,6,1,652,0,N/A,0
CLI1334,29,2517.54,963.28,4,0,549,0,N/A,0
CLI1335,29,1314.42,1478.22,12,1,612,0,N/A,0
CLI1336,54,2880.09,1164.83,6,1,486,0,N/A,0
CLI1337,26,3966.53,1104.3,3,1,789,0,N/A,0
CLI1338,63,2610.86,1429.04,9,0,883,0,N/A,0
CLI1339,61,2308.44,203.28,12,0,812,0,N/A,0
CLI1340,25,1681.84,844.76,3,0,623,0,N/A,0
CLI1341,25,1507.18,2644.72,3,1,708,0,N/A,0
CLI1342,39,2113.29,1998.59,3,0,596,0,N/A,0
CLI1343,37,996.51,160.64,9,0,368,0,N/A,0
CLI1344,57,4010.23,433.27,4,0,410,0,N/A,0
CLI1345,40,2171.32,1720.23,3,0,500,1,Lembrete com opção de renegociar,0
CLI1346,63,1534.51,1874.45,6,0,472,1,Lembrete com opção de renegociar,1
CLI1347,53,2640.97,1009.42,2,0,628,0,N/A,0
CLI1348,35,1151.86,2160.81,4,1,513,0,N/A,0
CLI1349,51,1300.02,1989.47,4,1,300,0,N/A,0
CLI1350,26,2352.97,354.13,6,1,624,0,N/A,0
CLI1351,33,1720.48,2896.02,9,1,325,1,Lembrete com opção de renegociar,1
CLI1352,28,2641.28,1696.88,3,1,532,0,N/A,0
CLI1353,36,2751.85,2746.57,2,0,727,0,N/A,0
CLI1354,45,4002.63,2680.42,2,1,588,0,N/A,0
CLI1355,35,970.1,465.19,2,0,495,0,N/A,0
CLI1356,44,1600.09,1942.42,12,0,542,0,N/A,0
CLI1357,57,3193.39,1723.85,9,1,319,1,Lembrete com opção de renegociar,0
CLI1358,18,1904.01,2985.15,3,1,509,0,N/A,0
CLI1359,26,1647.74,1841.99,4,0,754,1,Lembrete com opção de renegociar,1
CLI1360,31,1520.05,757.85,3,1,785,1,Lembrete com opção de renegociar,0
CLI1361,42,4858.44,2295.85,4,0,451,1,Lembrete simples,0
CLI1362,30,2161.01,2830.01,9,1,524,0,N/A,0
CLI1363,52,1516.57,55.76,2,1,560,0,N/A,0
CLI1364,21,1828.52,2870.63,12,0,519,0,N/A,0
CLI1365,50,2125.2,1269.71,3,0,675,0,N/A,0
CLI1366,44,5946.31,1889.14,9,0,437,0,N/A,0
CLI1367,35,1667.9,75.45,3,0,704,0,N/A,0
CLI1368,29,2668.45,1915.83,4,0,465,0,N/A,0
CLI1369,19,1596.5,179.28,2,1,782,0,N/A,0
CLI1370,55,1510.37,1521.92,4,0,740,0,N/A,0
CLI1371,55,1725.75,1462.57,3,1,491,0,N/A,0
CLI1372,27,3099.66,2363.03,3,1,511,0,N/A,0
CLI1373,45,1108.31,1957.29,9,1,710,0,N/A,0
CLI1374,37,1599.42,1111.12,12,0,607,1,Lembrete simples,0
CLI1375,61,1540.87,533.88,2,0,647,0,N/A,0
CLI1376,38,1934.1,834.3,9,0,403,1,Lembrete simples,0
CLI1377,20,900.0,399.81,9,0,547,0,N/A,0
CLI1378,26,1787.47,2646.3,6,1,706,1,Lembrete com opção de renegociar,0
CLI1379,38,1758.23,1613.12,3,1,698,0,N/A,0
CLI1380,28,1369.34,2823.35,6,1,526,0,N/A,0
CLI1381,50,1379.12,792.6,2,1,483,1,Lembrete com opção de renegociar,0
CLI1382,63,2441.68,1658.59,2,1,645,0,N/A,0
CLI1383,20,2151.6,322.71,2,0,387,1,Lembrete com opção de renegociar,1
CLI1384,40,1172.05,1150.2,12,0,699,1,Lembrete com opção de renegociar,1
CLI1385,21,900.0,2029.14,2,1,432,1,Lembrete com opção de renegociar,0
CLI1386,59,4944.11,1568.92,3,0,700,0,N/A,0
CLI1387,46,3066.65,2544.64,3,0,505,1,Lembrete simples,1
CLI1388,33,900.0,551.53,12,0,810,0,N/A,0
CLI1389,63,1437.23,2121.14,2,0,576,0,N/A,0
CLI1390,56,1944.04,641.19,6,0,673,0,N/A,0
CLI1391,27,1415.6,1359.36,3,1,679,0,N/A,0
CLI1392,59,2398.78,384.41,9,1,415,0,N/A,0
CLI1393,59,3300.29,74.0,4,1,705,0,N/A,0
CLI1394,54,3016.03,1420.19,3,0,1000,0,N/A,0
CLI1395,58,4509.12,2742.66,12,0,493,1,Lembrete com opção de renegociar,0
CLI1396,30,4033.98,2086.53,12,0,474,0,N/A,0
CLI1397,52,3430.24,2600.5,6,1,645,0,N/A,0
CLI1398,54,2770.02,2526.56,6,1,342,1,Lembrete com opção de renegociar,0
CLI1399,40,2552.35,2848.39,2,1,916,0,N/A,0
CLI1400,23,1280.33,1949.26,2,0,649,0,N/A,0
CLI1401,33,1339.6,532.31,4,1,666,0,N/A,0
CLI1402,21,3511.47,1888.06,3,0,390,0,N/A,0
CLI1403,55,1990.96,2601.61,4,0,450,1,Lembrete com opção de renegociar,0
CLI1404,40,2241.94,228.1,9,0,485,0,N/A,0
CLI1405,64,900.0,1469.69,4,0,750,0,N/A,0
CLI1406,32,1817.68,99.63,9,1,469,1,Lembrete com opção de renegociar,1
CLI1407,54,5074.1,2080.96,3,1,857,0,N/A,0
CLI1408,37,1442.63,919.92,12,0,705,0,N/A,0
CLI1409,62,2224.78,1096.99,4,0,666,0,N/A,0
CLI1410,55,1095.4,400.96,3,0,782,0,N/A,0
CLI1411,64,2304.89,2872.85,2,0,593,1,Lembrete com opção de renegociar,0
